Heading,Contents,Persons,Dates,Cities,Organizations,_id
LCMH,"Lake Charles Memorial Health System is the only locally owned, regional community healthcare system in Lake Charles consisting of:

Lake Charles Memorial Hospital
A 314-bed acute care facility at our main campus on Oak Park Boulevard.

Lake Charles Memorial Hospital for Women
A 54-bed women’s ob/gyn and surgical services facility at Gauthier and Nelson Roads.

Moss Memorial Health Clinic
A primary care clinic on Walters Street for those in need of healthcare, no matter what their financial or health insurance status is.

Archer Institute
A 42-bed behavioral health hospital on Nelson Road.

Memorial Medical Group
An affiliate physician group comprised of over 100 specialists with over 20 specialties and sub-specialties.

Memorial/LSUHSC Family Medicine Residency Program
A program combining the academic resources of LSUHSC New Orleans with the clinical and financial resources of southwest Louisiana's largest community-owned, non-profit healthcare system, Lake Charles Memorial.

Who We Are
The health system employs more than 2700 full-time, part-time and PRN employees and is the largest health system in the area.

Memorial is a true community health system, run by a board of local volunteers from all walks of business, industry and public service. It is one of an elite group of health systems that belongs to the people of Southwest Louisiana and serves everyone regardless of age, race, gender or financial status.","[Charles Memorial, Gauthier Nelson RoadsMoss Memorial Health]",15 November 2022,"[New Orleans, Louisianas, Southwest Louisiana]","[Walters Street, InstituteA, Nelson RoadMemorial Medical GroupAn]",63a52ad4e45bcae2d46b70d3
MCCROSSAN,"C.S. Mccrossan, Inc. provides construction infrastructure services to federal, state, county, and municipal transportation departments in the United States",[],10 November 2022,[United States],[CS Mccrossan Inc],63a52ad4e45bcae2d46b70d4
"ROYAL GATEWAY CO., LTD","Royal Gateway Company limited is leading distributor of alcohol beverage and ready to drink. These brands include: Nite, Fusion, Nadin, Eden, Geon-bae and Full Moon",[Nadin Eden],7 November 2022,[],"[Royal Gateway Company, Nite Fusion]",63a52ad4e45bcae2d46b70d5
APM Terminals,Terminal de Contenedores Quetzal,[],7 November 2022,[],[Terminal Contenedores],63a52ad4e45bcae2d46b70d6
Cornwell Quality Tools,"**** EXFILTRATED DATA IS COMING SOON ****

Headquartered in Wadsworth, Ohio, Cornwell Quality Tools is the oldest mobile tool company, with a market presence since 1919. A family and employee-owned company, Cornwell is committed to the pride that accompanies the sale of quality materials. With the use of high-grade alloy steel, combined with modern heat-treating methods, Cornwell has continued to produce the finest tools in the world, that have truly been ""The Choice of Professionals®"" for over 100 years. Products are sold via 650+ mobile tool dealers across the country. Cornwell has two state-of-the-art distribution centers located in Clearfield, Utah and Wadsworth, Ohio, along with three manufacturing facilities located in Albion, Pennsylvania (Forging Operation), Mogadore, Ohio (Hand Tool Manufacturing), and Van Wert, Ohio (Tool Storage Manufacturing).",[],7 November 2022,[Ohio],"[Headquartered Wadsworth, Cornwell, Cornwell, Cornwell, Clearfield Utah Wadsworth, Albion Pennsylvania Forging Operation Mogadore]",63a52ad4e45bcae2d46b70d7
Landi Renzo,"Today, Landi Renzo has become a world leader in the design and construction of systems for vehicles powered by LPG and CNG.

Operating in more than 50 countries on five continents, Landi Renzo has achieved widespread success, with a direct presence through subsidiaries and joint ventures, together with commercial distribution agreements with importers and local distributors.

This international vocation is confirmed by the share of the group's consolidated turnover attributable to exports, which exceeds 80%.
For over 60 years, we have been providing 
real and effective solutions to the challenges of environmental sustainability through the sale and installation of systems for the automotive sector based on alternative fuels that are less expensive and better for the environment.
From environmentally-friendly traditional fuels such as LPG and CNG, to the new horizons offered by automotive sector: we constantly invest in research and in the design of cutting-edge technologies to transform projects into reality.

Our innovation-driven approach is demonstrated by more than 91 patents filed over the years, which have helped to break new ground and open up new horizons for the whole industry.
Find Landi Renzo components and systems
on the vehicles of leading automakers.",[],3 November 2022,[Landi],"[Landi, Landi, LPG CNG, realityOur innovationdriven]",63a52ad5e45bcae2d46b70d8
Tata Power,"India's Largest Integrated Power Company
Tata Power, formerly a part of the three entities jointly known as Tata Electric Companies, is a pioneer in technology adoption, with many firsts to its credit, supporting the country's energy independence.
Tata Power, together with its subsidiaries & joint entities, has a generation capacity of 13,735 MW of which 35% comes from clean energy sources. The company has the distinction of being among the top private players in each sector of the value chain including solar rooftop and value-added services.

Tata Power is a pioneer credited with steering the energy sector on technology, process and platform. Powering emerging technologies for the 'smart' customer, Tata Power's latest business integrated solutions, focusing on mobility and lifestyle, is poised for multi-fold growth.

Since its inception in 1915, Tata Power now has over a century of expertise in technology leadership, project execution excellence, world-class safety processes, customer care and driving green initiatives, Tata Power is committed to 'lighting up lives' for generations to come.",[],24 October 2022,[],"[Tata Electric Companies, Tata Powers, Tata Power, Tata Power]",63a52ad5e45bcae2d46b70d9
Município De Loures,"Município de Loures

Loures
City in Portugal
Loures is a city and a municipality in the central Portuguese Grande Lisboa Subregion. It is situated 13 km to the north of Lisbon. It was created on 26 July 1886 by a royal decree. The population in 2011 was 199,494, in an area of 167.24 km².",[],9 October 2022,[Lisbon],[PortugalLoures],63a52ad5e45bcae2d46b70da
Mansfield Independent School District (MISD),"Mansfield Independent School District is a premiere school district located in the Dallas-Fort Worth Metroplex. The district encompasses more than 94 square miles serving students in the city of Mansfield and sections of Arlington, Grand Prairie, Burleson, Fort Worth, Venus, Alvarado and Kennedale.

Mansfield ISD has 49 schools serving more than 35,000 students - one pre-kindergarten academy, 24 elementary schools (grades K-4), seven intermediate schools (grades 5-6), seven middle schools (grades 7-8), two standalone STEM academies, five traditional high schools, one career and technology academy, one alternative education center and one early college high school.",[STEM],30 September 2022,[Mansfield],[Mansfield Independent School District],63a52ad5e45bcae2d46b70db
"Southwell, Inc.","About Southwell
With a reputation as an innovative provider of quality care, Southwell is a growing, not-for-profit health system serving 12 counties in South Central Georgia. Southwell offers more than 135 physicians with expertise in over 30 specialties. Southwell provides a wide-range of care, including signature services in surgery, oncology, cardiovascular care, women’s health, neurodiagnostics, geriatric psychiatric care, radiology and more.

The Main Campus is Tift Regional Medical Center, a 181-bed regional referral hospital located in Tifton. Our Tifton West Campus houses various diagnostic services and the region’s largest multi-specialty clinic. Our Cook County campus is anchored by Southwell Medical, an acute care facility which includes state-of-the-art surgical services and a 12-bed geriatric psychiatric unit. The Cook campus also includes Southwell Health and Rehabilitation, a 95-bed skilled rehabilitation facility.","[Southwell, Cook]",27 September 2022,[Cook County],"[Southwell, Tifton Our Tifton West Campus, Southwell Medical, Southwell Health Rehabilitation 95bed]",63a52ad5e45bcae2d46b70dc
GFG,"FAT Brands established in 1952 is a franchising company that strategically acquires, USA",[],26 September 2022,[USA],[FAT Brands],63a52ad5e45bcae2d46b70dd
JANMARINI,"Jan Marini Skin Research, Inc. is a recognized leader and innovator in the professionally dispensed skin care",[],26 September 2022,[],[Jan Marini Skin Research Inc],63a52ad5e45bcae2d46b70de
TAKAO-UK,"G-TEM, headquartered in Gloucester, is a manufacturer of metal pressings and metal stamping associated with automotive parts",[Gloucester],26 September 2022,[],[],63a52ad5e45bcae2d46b70df
TSMTU,Meccanotecnica Umbra is an international Group specialized in engineering and manufacturing of mechanical seals,[],26 September 2022,[],[Meccanotecnica Umbra international Group],63a52ad5e45bcae2d46b70e0
BHARBERT,BL Harbert International is a privately-owned construction company with U.S. and international operations. Headquartered in Birmingham & USA,[],21 September 2022,[US],"[BL Harbert International, Headquartered Birmingham USA]",63a52ad5e45bcae2d46b70e1
Sigmund Software,"Team
Our team is passionate about improving outcomes. With many former (and some current) behavioral health professionals on staff, a unique motivation drives our service and innovation – we have seen how an EHR can hinder user experience and patient care. We want to offer the best-possible health IT experience to as many people as we can, because we truly believe in our software and have seen it transform organizations time and time again. We’ve quite literally made it our life’s work to offer providers the solutions we wished we’d had in the field.


Tech
Our tech passes the tests of longevity and innovation. Our software has been developed and enhanced by the same core team of seasoned developers over the past 16 years. During that time, our industry has experienced several technological revolutions. Due to the consistent innovation and technological ingenuity of our development team, we’ve always emerged on the other side with even more powerful software than before. The minds and skills of our developers allow Sigmund to embrace advances in tech as they come, and we treat them as opportunities to enrich our software solutions. 
Customers
Our customers force us to stay on the cutting-edge, and we wouldn’t have it any other way. Through the years, we’ve been lucky enough to work with many different organizations. Behavioral health is a diverse and highly specific industry, and its providers require varied, individualized software solutions. In this way, our developers are consistently challenged by the needs of our clients. They inform our software philosophy and architecture, and have pushed us to build a truly dynamic software. And for that, we are grateful. Refining our software to fulfill their complex needs has surpassed any other benchmarks we could hold ourselves to.",[],20 September 2022,[],"[TeamOur, CustomersOur]",63a52ad6e45bcae2d46b70e2
AdaptIT,Adapt IT is a Johannesburg Stock Exchange listed entity that provides leading specialised software and digitally-led business solutions,[],19 September 2022,[],[Adapt IT Johannesburg Stock Exchange],63a52ad6e45bcae2d46b70e3
MILLS GROUP,"MILLS CNC LIMITED part of the Metalworking Machinery Manufacturing Industry, WARWICK, United Kingdom

**** EXFILTRATED FILES ARE COMING SOON ****",[],19 September 2022,[United Kingdom EXFILTRATED],[],63a52ad6e45bcae2d46b70e4
EIITNET,"EIIT was founded in 1986 as an engineering office for products, projects and solutions. As the market leader in Spain, with more than 30 years of experience in all industry sectors, EIIT offers its customers innovative and technologically advanced solutions. Spain",[],19 September 2022,"[Spain, Spain]","[EIIT, EIIT]",63a52ad6e45bcae2d46b70e5
CARTEGRAPH,"Cartegraph builds safer, more resilient and sustainable communities through better stewardship of critical infrastructure. They offer powerful, intuitive, USA",[],19 September 2022,[USA],[],63a52ad6e45bcae2d46b70e6
Massy Distribution Limited,"Massy Distribution Limited is located in Trincity, Trinidad and Tobago and is part of the Grocery and Related Product Merchant Wholesalers Industry",[],19 September 2022,[],[Massy Distribution Limited],63a52ad6e45bcae2d46b70e7
NUAIRE,"NUAIRE LIMITED is located in LEEDS, United Kingdom and is part of the Machinery, Equipment, and Supplies Merchant Wholesalers Industry. NUAIRE LIMITED has 500 employees at this location and generates $118.57 million in sales (USD). (Employees figure is estimated). There are 73 companies in the NUAIRE LIMITED corporate family.",[],19 September 2022,[],"[NUAIRE LIMITED, USD Employees, NUAIRE LIMITED]",63a52ad6e45bcae2d46b70e8
Yachiyo Of America,A Tier 1 supplier to the automotive industry since 1997,[],19 September 2022,[],[],63a52ad6e45bcae2d46b70e9
SANDO,"Sando is a sustainable multinational company with over forty-five years of experience, specialising in construction of infrastructures and provision of upkeep and maintenance services.",[],19 September 2022,[],[Sando],63a52ad6e45bcae2d46b70ea
KDE,"Kloeckner DESMA Elastomertechnik GmbH is headquartered in Fridingen An Der Donau, Germany. The company manufactures and designs industrial machinery",[Elastomertechnik GmbH],19 September 2022,[],"[Kloeckner, Fridingen An Der Donau]",63a52ad7e45bcae2d46b70eb
AUM,"01.04\b1 | HV 1\2 | SERVER 15 
Allen & Unwin is Australia's leading independent publisher and has been voted ""Publisher of the Year"" twelve times including the inaugural award in 1992, Australia |",[Allen Unwin],19 September 2022,[Australia],[HV],63a52ad7e45bcae2d46b70ec
RALLYE-DOM,"Retail giant Rallye musters its businesses around not just the French flag, but around flags worldwide. Rallye's Casino Guichard-Perrachon subsidiary operates over 15,000 hypermarkets, supermarkets, and convenience stores in Europe (mostly France), Asia/Pacific, and South America (including Brazil). In addition to retailing, the company is active in real estate development, banking, and a variety of investment vehicles",[Rallye],19 September 2022,"[France, Brazil]",[],63a52ad7e45bcae2d46b70ed
Monterey Mechanical Co.,"Monterey Mechanical Co. was founded in 1942, and as the name implies, was located in Monterey, California. Its primary focus was construction work, United States",[],19 September 2022,[United States],[Monterey Mechanical Co],63a52ad7e45bcae2d46b70ee
G&P Projects And Systems S.A.,G&P Projects and Systems S.A. is a company with 100% national capital which operates 26 years ago in the Information Technology (IT) segment,[],19 September 2022,[],[GP Projects Systems],63a52ad7e45bcae2d46b70ef
DIRECTFERRIES,"Multi-platform impartial ferry ticketing service offering , UK",[],19 September 2022,[UK],[],63a52ad7e45bcae2d46b70f0
CAN.COM,"Can Capital, Inc. is located in Kennesaw, GA, United States and is part of the Nondepository Credit Intermediation Industry",[],19 September 2022,[Kennesaw],"[Can Capital Inc, United States Nondepository Credit Intermediation Industry]",63a52ad7e45bcae2d46b70f1
CITY-FURNITURE,"We're a Florida based retailer on a mission to change the way people live with beautiful home furnishings at incredible value. Our roots date back to the 1970s when we opened as Waterbed City, and over the years we've evolved into a leading furniture and home accents destination. Style and value is at the core of everything we do, and with nearly 20 showrooms across the state and an expansive e-commerce site, we're constantly evolving our lineup to bring our customers the very best.",[],19 September 2022,"[Florida, Waterbed City]",[],63a52ad7e45bcae2d46b70f2
FMT,"Florida Marine Transporters, headquartered in Mandeville, Louisiana, is a marine transportation company",[Mandeville Louisiana],19 September 2022,[],[Florida Marine Transporters],63a52ad7e45bcae2d46b70f3
WWSTEELE,"Steele Compliance Solutions, founded in 1989 and headquartered in Walnut Creek, California, is a financial software company specializing in anti-bribery",[],19 September 2022,"[Walnut Creek, California]",[],63a52ad8e45bcae2d46b70f4
MHIRE,"The Intelligent Hiring Platform
Transform your enterprise hiring with speed to hire + quality outcomes. Modern Hire combines advanced selection science and market-leading interview technology in a no-compromises solution trusted by nearly half the Fortune 100.",[],19 September 2022,[],"[PlatformTransform, Modern Hire]",63a52ad8e45bcae2d46b70f5
APETITO,"Apetito is a European frozen food company which started in post-war Germany. They currently operate in Germany, the Netherlands, United Kingdom (www.apetito.co.uk, www.apetito.de )",[Apetito European],19 September 2022,"[Germany, Germany, Netherlands, United Kingdom]",[],63a52ad8e45bcae2d46b70f6
SOUCY,"Soucy is a private corporation founded by Mr. Gilles Soucy in 1967. With over 1,700 employees throughout 12 facilities located in North America and Asia, Soucy conceptualizes and manufactures various components for leading manufacturers of motorsport, industrial, agricultural and defense vehicles.",[Soucy],19 September 2022,[],[],63a52ad8e45bcae2d46b70f7
SPORTPLAZA,"Volg Sportoase A place where sport, relaxation, leisure and people come together with an offer tailored to families, large and small, where the threshold is low and where the general public comes home, Belgium",[Volg Sportoase],19 September 2022,[Belgium],[],63a52ad8e45bcae2d46b70f8
GROUP4 AUSTRALIA,"G4S Australia Pty. Ltd. provides security services. The Company offers services such as private security, prison management, cash transportation, care and justice, secure solutions, and investigative services.",[],19 September 2022,[],[Australia Pty Ltd],63a52ad8e45bcae2d46b70f9
ChemStation International,"ChemStation International Founded in 1997 and headquartered in Dayton, Ohio, ChemStation International, Inc. produces industrial cleaning and process chemicals. USA",[],19 September 2022,"[Ohio, USA]","[ChemStation International Founded 1997, Dayton, ChemStation International Inc]",63a52ad8e45bcae2d46b70fa
New York Racing Association,"New York Racing Association, not-for-profit corporation that operates the three largest Thoroughbred horse racing tracks, United States",[],19 September 2022,[United States],[New York Racing Association],63a52ad8e45bcae2d46b70fb
Guardian Fueling Technologies,"Guardian Fueling Technologies, LLC is located in Jacksonville, FL, United States and is part of the Other Specialty Trade Contractors Industry. Guardian Fueling Technologies, LLC has 430 total employees across all of its locations and generates $95.18 million in sales (USD). (Sales figure is modelled). There are 14 companies in the Guardian Fueling Technologies, LLC corporate family",[],19 September 2022,[Jacksonville],"[Guardian Fueling Technologies, USD, Guardian Fueling Technologies]",63a52ad8e45bcae2d46b70fc
Yurtiçi Kargo,"Taking the slogan ""As Promised"" as the reference point, Yurtiçi Kargo was founded in 1982 with the leadership of Dr. İbrahim Arıkanlı under the roof of Arıkanlı Holding as the first Turkish cargo brand in Turkey.

With 17 Regional Directorates, 33 transshipment centers, more than 1000 branches, more than 18.000 employees, and a and its fleet over 5000 vehicles, Yurtiçi Kargo provides service in 81 cities of Turkey and in Turkish Republic of Northern Cyprus and since 2003 the company has been carrying out international shipments to more than 220 points in the world with its solution-partner Geopost, one of the leading cargo companies in Europe.

Yurtiçi Kargo has been a pioneer with its leading position in cargo sector, quality human resources, customer-oriented service and analytical management philosophy, and guides many companies in the sector thanks to its success in mobility and innovation.

Executing the company mission of providing impeccable service with quality standards applied in the business, “good service on the first try” motto of Yurtiçi Kargo reflects its understanding of quality.

Yurtiçi Kargo continues to pave the way to both local and international express cargo shipment sector by providing service on international quality levels with Yurtiçi Lojistik and other companies in the Transportation Category of Arıkanlı Holding.","[Yurtii Kargo, Dr, Arkanl, Arkanl Holding, Yurtii Kargo, Yurtii Kargo]",19 September 2022,"[Turkey, Kargo]","[TurkeyWith 17 Regional Directorates, EuropeYurtii Kargo, Yurtii Lojistik, Transportation]",63a52ad8e45bcae2d46b70fd
Authentic Brands Group,"Founded in 2010, Authentic Brands Group is a brand development, marketing, and entertainment company. Authentic Brands Group is based in New York City",[],19 September 2022,[New York City],"[Authentic Brands Group, Authentic Brands Group]",63a52ad9e45bcae2d46b70fe
Caracol TV,"Founded in 1954 and based out of Bogota, Columbia, Caracol Television operates as a media and entertainment company",[],19 September 2022,[],[Bogota Columbia Caracol Television],63a52ad9e45bcae2d46b70ff
Bell Technical Solutions,"Bell Technical Solutions (BTS) is a wholly owned subsidiary of Bell Canada that specializes in the installation of Bell services, including Home Phone, Internet and Fibe TV. BTS operates in the residential and business sectors throughout Québec and Ontario.",[Qubec Ontario],15 September 2022,[],"[Bell Technical Solutions, Bell Canada, Bell, Home Phone Internet Fibe TV]",63a52ad9e45bcae2d46b7100
FONTAINEBLEAU,"Situated on oceanfront Collins Avenue in the heart of Millionaire's Row, Fontainebleau Miami Beach is one of the most historically and architecturally significant hotels on Miami Beach, Florida. Its iconic design is a spectacular blend of Miami’s glamorous golden era and stylish modern luxury. A revered Miami Beach landmark for more than half a century, Morris Lapidus’ emblematic curvilinear building sets a new standard for business and pleasure. The 22-acre oceanfront Miami Beach hotel features signature restaurants by award-winning chefs; two chic nightlife venues; a two-story spa, a virtually endless poolscape, miles of pristine beach and state-of-the-art conference and event facilities.","[Miamis, Morris Lapidus]",15 September 2022,"[Miami Beach, Miami Beach, Florida, Miami Beach, Miami Beach]",[Millionaires Row Fontainebleau],63a52ad9e45bcae2d46b7101
California-Oregon Telecommunications Company,"Stocks:
=======
LSE:ECEL.L
FRA:6YQ.F
MUN:6YQ.MU
STU:GB00BVV2KN49.SG

**** THEY CAN'T AFFORD $6M USD THAT'S WHY THEIR DATA IS HERE ****

Eurocell plc manufactures, distributes, and recycles windows, doors, and roofline polyvinyl chloride (PVC) building products in the United Kingdom. It operates through Profiles and Building Plastics segments. The company manufactures and sells extruded rigid and foam PVC profiles to third-party fabricators and customers. It also distributes a range of PVC foam roofline products and Vista doors; locks and hardware; building plastic materials; and third-party ancillary products, including sealants, tools, and rainwater products, as well as windows to the new and replacement window markets. The company sells its products to installers, small and independent builders, house builders, and maintenance companies, as well as roofline products to independent wholesalers. It also offers its products through online. Eurocell plc was founded in 1974 and is headquartered in Alfreton, the United Kingdom.",[],6 September 2022,"[United Kingdom, Alfreton United Kingdom]","[PVC, Profiles Building Plastics, PVC, Vista, Eurocell plc]",63a52ad9e45bcae2d46b7102
Eurocell,"The Next Generation of Medical Billing & RCM

Since 1979, our team at NCG Medical has made it our mission to function as a part of your practice, taking billing off of your administrative team’s plates and freeing up your talented team for what’s most important—your patients. We’ll consult with your team to provide custom solutions that are right for your practice.
Our Services
- Medical
Insurance Billing
- Radiation Oncology
Insurance Billing
- Gastroenterology
Insurance Billing
- Dermatology
Insurance Billing
At NCG Medical, we specialize in custom medical billing and revenue cycle management that’s designed to suit your individual needs. We take care of your practice management so you can take care of what’s most important: your patients. In addition to radiation oncology, dermatology, gastroenterology and therapy-based practices, our medical billing solutions are ideal for:

- Surgery Centers
- Hospitalists
- Cancer Centers
- Infectious Disease 
- Urology 
- Family Medicine
- Orthopedics 
- Internal Medicine",[],2 September 2022,[],"[The Next Generation Medical Billing, NCG Medical, MedicalInsurance, NCG Medical]",63a52ad9e45bcae2d46b7103
NCG Medical,"Altice international is a multinational group specializing in telecoms, content, media, entertainment, and advertising headquartered in Luxembourg.

Through its fully owned Israeli subsidiary, Hot Telecommunications Systems, Altice holds a special permit from the Israeli Civil Administration (ICA) for the provision of cable television and telecommunication services to Israeli settlements in the occupied Palestinian territory. The license was granted in 2006 and is valid through 25 November 2023. In 2019, Hot Telecommunications Systems announced that it will expand its services in the occupied West Bank to reach all settlements through wireless internet and TV services.

In January 2021 and January 2022, Hot Telecommunications Systems was awarded two contracts by the Israeli Ministry of Construction and Housing, Jerusalem District, for planning and carrying out the relocation of communication infrastructure in public spaces in the settlements of Efrat, Beit El, Beitar Illit, Givat Ze’ev, Geva Binyamin (Adam), Ma’ale Adumim, Ma’ale Efraim and Kiryat Arba in the West Bank. The first contract awarded in January 2021, was valued at 4 million NIS, and lasted through 31 December 2021. The second contract in January 2022, amounted to 10 million NIS, and is valid through 31 December 2022.

Another fully owned Israeli subsidiary, Hot Mobile (formerly MIRS) holds since 2002, an ICA permit to provide cellular services to Israeli settlements in the occupied Palestinian territory. For its license to operate in Area C of the occupied West Bank, Hot Mobile has provided the ICA with a bank guarantee of NIS 4 million valid through December 2022. Hot Mobile also pays royalties to Israeli settlements.

As of February 2022, Hot Mobile has at least 242 active cellular antennas and telecommunication infrastructure facilities in occupied territories, 44 of which are located in the occupied Syrian Golan, while the others are located in the occupied West Bank and East Jerusalem.",[],31 August 2022,"[West Bank, West Bank, West Bank, East Jerusalem]","[LuxembourgThrough, Hot Telecommunications Systems Altice, Israeli Civil Administration, Hot Telecommunications Systems, Hot Telecommunications Systems, Israeli Ministry Construction Housing Jerusalem District, Efrat, NIS, NIS, Hot Mobile, ICA, Area C, West Bank Hot Mobile, ICA, NIS, Hot Mobile, Hot Mobile]",63a52ad9e45bcae2d46b7104
Altice International,"Baton Rouge General is a hospital that offers pediatrics, gastroenterology, wound care, neurosciences, orthopedics and rehabilitation services. Baton Rouge General was founded in 1900. Baton Rouge General's headquarters is located in Baton Rouge, Louisiana, USA 70809.",[],25 August 2022,[],"[Baton Rouge, Baton Rouge, 1900 Baton Rouge Generals, Baton Rouge, Louisiana USA 70809]",63a52ad9e45bcae2d46b7105
Baton Rouge General,"Reiter Affiliated Companies, founded in 1868 and headquartered in Oxnard, California, operates as a multi-berry producer.

***** SENSITIVE DATA ARE COMING SOON *****",[],24 August 2022,[],[Reiter Affiliated Companies],63a52ad9e45bcae2d46b7106
Reiter Affiliated Companies,"Wootton Upper School
Kimberley College",[Wootton Upper SchoolKimberley],19 August 2022,[],[],63a52adae45bcae2d46b7107
WOOTTON ACADEMY TRUST,"Established in 1997, Tristate Hvac Equipment, LLP provides air distribution and central system equipment. The company offers wholesale distribution of warm air.",[],18 August 2022,[],[],63a52adae45bcae2d46b7108
