Content,Date,Heading,_id
"Mansfield Independent School District is a premiere school district located in the Dallas-Fort Worth Metroplex. The district encompasses more than 94 square miles serving students in the city of Mansfield and sections of Arlington, Grand Prairie, Burleson, Fort Worth, Venus, Alvarado and Kennedale.

Mansfield ISD has 49 schools serving more than 35,000 students - one pre-kindergarten academy, 24 elementary schools (grades K-4), seven intermediate schools (grades 5-6), seven middle schools (grades 7-8), two standalone STEM academies, five traditional high schools, one career and technology academy, one alternative education center and one early college high school.",30 September 2022,Mansfield Independent School District (MISD),63a52ad5e45bcae2d46b70db
"About Southwell
With a reputation as an innovative provider of quality care, Southwell is a growing, not-for-profit health system serving 12 counties in South Central Georgia. Southwell offers more than 135 physicians with expertise in over 30 specialties. Southwell provides a wide-range of care, including signature services in surgery, oncology, cardiovascular care, women’s health, neurodiagnostics, geriatric psychiatric care, radiology and more.

The Main Campus is Tift Regional Medical Center, a 181-bed regional referral hospital located in Tifton. Our Tifton West Campus houses various diagnostic services and the region’s largest multi-specialty clinic. Our Cook County campus is anchored by Southwell Medical, an acute care facility which includes state-of-the-art surgical services and a 12-bed geriatric psychiatric unit. The Cook campus also includes Southwell Health and Rehabilitation, a 95-bed skilled rehabilitation facility.",27 September 2022,"Southwell, Inc.",63a52ad5e45bcae2d46b70dc
"FAT Brands established in 1952 is a franchising company that strategically acquires, USA",26 September 2022,GFG,63a52ad5e45bcae2d46b70dd
"Jan Marini Skin Research, Inc. is a recognized leader and innovator in the professionally dispensed skin care",26 September 2022,JANMARINI,63a52ad5e45bcae2d46b70de
"G-TEM, headquartered in Gloucester, is a manufacturer of metal pressings and metal stamping associated with automotive parts",26 September 2022,TAKAO-UK,63a52ad5e45bcae2d46b70df
Meccanotecnica Umbra is an international Group specialized in engineering and manufacturing of mechanical seals,26 September 2022,TSMTU,63a52ad5e45bcae2d46b70e0
BL Harbert International is a privately-owned construction company with U.S. and international operations. Headquartered in Birmingham & USA,21 September 2022,BHARBERT,63a52ad5e45bcae2d46b70e1
"Team
Our team is passionate about improving outcomes. With many former (and some current) behavioral health professionals on staff, a unique motivation drives our service and innovation – we have seen how an EHR can hinder user experience and patient care. We want to offer the best-possible health IT experience to as many people as we can, because we truly believe in our software and have seen it transform organizations time and time again. We’ve quite literally made it our life’s work to offer providers the solutions we wished we’d had in the field.


Tech
Our tech passes the tests of longevity and innovation. Our software has been developed and enhanced by the same core team of seasoned developers over the past 16 years. During that time, our industry has experienced several technological revolutions. Due to the consistent innovation and technological ingenuity of our development team, we’ve always emerged on the other side with even more powerful software than before. The minds and skills of our developers allow Sigmund to embrace advances in tech as they come, and we treat them as opportunities to enrich our software solutions. 
Customers
Our customers force us to stay on the cutting-edge, and we wouldn’t have it any other way. Through the years, we’ve been lucky enough to work with many different organizations. Behavioral health is a diverse and highly specific industry, and its providers require varied, individualized software solutions. In this way, our developers are consistently challenged by the needs of our clients. They inform our software philosophy and architecture, and have pushed us to build a truly dynamic software. And for that, we are grateful. Refining our software to fulfill their complex needs has surpassed any other benchmarks we could hold ourselves to.",20 September 2022,Sigmund Software,63a52ad6e45bcae2d46b70e2
Adapt IT is a Johannesburg Stock Exchange listed entity that provides leading specialised software and digitally-led business solutions,19 September 2022,AdaptIT,63a52ad6e45bcae2d46b70e3
"MILLS CNC LIMITED part of the Metalworking Machinery Manufacturing Industry, WARWICK, United Kingdom

**** EXFILTRATED FILES ARE COMING SOON ****",19 September 2022,MILLS GROUP,63a52ad6e45bcae2d46b70e4
"EIIT was founded in 1986 as an engineering office for products, projects and solutions. As the market leader in Spain, with more than 30 years of experience in all industry sectors, EIIT offers its customers innovative and technologically advanced solutions. Spain",19 September 2022,EIITNET,63a52ad6e45bcae2d46b70e5
"Cartegraph builds safer, more resilient and sustainable communities through better stewardship of critical infrastructure. They offer powerful, intuitive, USA",19 September 2022,CARTEGRAPH,63a52ad6e45bcae2d46b70e6
"Massy Distribution Limited is located in Trincity, Trinidad and Tobago and is part of the Grocery and Related Product Merchant Wholesalers Industry",19 September 2022,Massy Distribution Limited,63a52ad6e45bcae2d46b70e7
"NUAIRE LIMITED is located in LEEDS, United Kingdom and is part of the Machinery, Equipment, and Supplies Merchant Wholesalers Industry. NUAIRE LIMITED has 500 employees at this location and generates $118.57 million in sales (USD). (Employees figure is estimated). There are 73 companies in the NUAIRE LIMITED corporate family.",19 September 2022,NUAIRE,63a52ad6e45bcae2d46b70e8
A Tier 1 supplier to the automotive industry since 1997,19 September 2022,Yachiyo Of America,63a52ad6e45bcae2d46b70e9
"Sando is a sustainable multinational company with over forty-five years of experience, specialising in construction of infrastructures and provision of upkeep and maintenance services.",19 September 2022,SANDO,63a52ad6e45bcae2d46b70ea
"Kloeckner DESMA Elastomertechnik GmbH is headquartered in Fridingen An Der Donau, Germany. The company manufactures and designs industrial machinery",19 September 2022,KDE,63a52ad7e45bcae2d46b70eb
"01.04\b1 | HV 1\2 | SERVER 15 
Allen & Unwin is Australia's leading independent publisher and has been voted ""Publisher of the Year"" twelve times including the inaugural award in 1992, Australia |",19 September 2022,AUM,63a52ad7e45bcae2d46b70ec
"Retail giant Rallye musters its businesses around not just the French flag, but around flags worldwide. Rallye's Casino Guichard-Perrachon subsidiary operates over 15,000 hypermarkets, supermarkets, and convenience stores in Europe (mostly France), Asia/Pacific, and South America (including Brazil). In addition to retailing, the company is active in real estate development, banking, and a variety of investment vehicles",19 September 2022,RALLYE-DOM,63a52ad7e45bcae2d46b70ed
"Monterey Mechanical Co. was founded in 1942, and as the name implies, was located in Monterey, California. Its primary focus was construction work, United States",19 September 2022,Monterey Mechanical Co.,63a52ad7e45bcae2d46b70ee
G&P Projects and Systems S.A. is a company with 100% national capital which operates 26 years ago in the Information Technology (IT) segment,19 September 2022,G&P Projects And Systems S.A.,63a52ad7e45bcae2d46b70ef
"Multi-platform impartial ferry ticketing service offering , UK",19 September 2022,DIRECTFERRIES,63a52ad7e45bcae2d46b70f0
"Can Capital, Inc. is located in Kennesaw, GA, United States and is part of the Nondepository Credit Intermediation Industry",19 September 2022,CAN.COM,63a52ad7e45bcae2d46b70f1
"We're a Florida based retailer on a mission to change the way people live with beautiful home furnishings at incredible value. Our roots date back to the 1970s when we opened as Waterbed City, and over the years we've evolved into a leading furniture and home accents destination. Style and value is at the core of everything we do, and with nearly 20 showrooms across the state and an expansive e-commerce site, we're constantly evolving our lineup to bring our customers the very best.",19 September 2022,CITY-FURNITURE,63a52ad7e45bcae2d46b70f2
"Florida Marine Transporters, headquartered in Mandeville, Louisiana, is a marine transportation company",19 September 2022,FMT,63a52ad7e45bcae2d46b70f3
"Steele Compliance Solutions, founded in 1989 and headquartered in Walnut Creek, California, is a financial software company specializing in anti-bribery",19 September 2022,WWSTEELE,63a52ad8e45bcae2d46b70f4
"The Intelligent Hiring Platform
Transform your enterprise hiring with speed to hire + quality outcomes. Modern Hire combines advanced selection science and market-leading interview technology in a no-compromises solution trusted by nearly half the Fortune 100.",19 September 2022,MHIRE,63a52ad8e45bcae2d46b70f5
"Apetito is a European frozen food company which started in post-war Germany. They currently operate in Germany, the Netherlands, United Kingdom (www.apetito.co.uk, www.apetito.de )",19 September 2022,APETITO,63a52ad8e45bcae2d46b70f6
"Soucy is a private corporation founded by Mr. Gilles Soucy in 1967. With over 1,700 employees throughout 12 facilities located in North America and Asia, Soucy conceptualizes and manufactures various components for leading manufacturers of motorsport, industrial, agricultural and defense vehicles.",19 September 2022,SOUCY,63a52ad8e45bcae2d46b70f7
"Volg Sportoase A place where sport, relaxation, leisure and people come together with an offer tailored to families, large and small, where the threshold is low and where the general public comes home, Belgium",19 September 2022,SPORTPLAZA,63a52ad8e45bcae2d46b70f8
"G4S Australia Pty. Ltd. provides security services. The Company offers services such as private security, prison management, cash transportation, care and justice, secure solutions, and investigative services.",19 September 2022,GROUP4 AUSTRALIA,63a52ad8e45bcae2d46b70f9
"ChemStation International Founded in 1997 and headquartered in Dayton, Ohio, ChemStation International, Inc. produces industrial cleaning and process chemicals. USA",19 September 2022,ChemStation International,63a52ad8e45bcae2d46b70fa
"New York Racing Association, not-for-profit corporation that operates the three largest Thoroughbred horse racing tracks, United States",19 September 2022,New York Racing Association,63a52ad8e45bcae2d46b70fb
"Guardian Fueling Technologies, LLC is located in Jacksonville, FL, United States and is part of the Other Specialty Trade Contractors Industry. Guardian Fueling Technologies, LLC has 430 total employees across all of its locations and generates $95.18 million in sales (USD). (Sales figure is modelled). There are 14 companies in the Guardian Fueling Technologies, LLC corporate family",19 September 2022,Guardian Fueling Technologies,63a52ad8e45bcae2d46b70fc
"Taking the slogan ""As Promised"" as the reference point, Yurtiçi Kargo was founded in 1982 with the leadership of Dr. İbrahim Arıkanlı under the roof of Arıkanlı Holding as the first Turkish cargo brand in Turkey.

With 17 Regional Directorates, 33 transshipment centers, more than 1000 branches, more than 18.000 employees, and a and its fleet over 5000 vehicles, Yurtiçi Kargo provides service in 81 cities of Turkey and in Turkish Republic of Northern Cyprus and since 2003 the company has been carrying out international shipments to more than 220 points in the world with its solution-partner Geopost, one of the leading cargo companies in Europe.

Yurtiçi Kargo has been a pioneer with its leading position in cargo sector, quality human resources, customer-oriented service and analytical management philosophy, and guides many companies in the sector thanks to its success in mobility and innovation.

Executing the company mission of providing impeccable service with quality standards applied in the business, “good service on the first try” motto of Yurtiçi Kargo reflects its understanding of quality.

Yurtiçi Kargo continues to pave the way to both local and international express cargo shipment sector by providing service on international quality levels with Yurtiçi Lojistik and other companies in the Transportation Category of Arıkanlı Holding.",19 September 2022,Yurtiçi Kargo,63a52ad8e45bcae2d46b70fd
"Founded in 2010, Authentic Brands Group is a brand development, marketing, and entertainment company. Authentic Brands Group is based in New York City",19 September 2022,Authentic Brands Group,63a52ad9e45bcae2d46b70fe
"Founded in 1954 and based out of Bogota, Columbia, Caracol Television operates as a media and entertainment company",19 September 2022,Caracol TV,63a52ad9e45bcae2d46b70ff
"Bell Technical Solutions (BTS) is a wholly owned subsidiary of Bell Canada that specializes in the installation of Bell services, including Home Phone, Internet and Fibe TV. BTS operates in the residential and business sectors throughout Québec and Ontario.",15 September 2022,Bell Technical Solutions,63a52ad9e45bcae2d46b7100
"Situated on oceanfront Collins Avenue in the heart of Millionaire's Row, Fontainebleau Miami Beach is one of the most historically and architecturally significant hotels on Miami Beach, Florida. Its iconic design is a spectacular blend of Miami’s glamorous golden era and stylish modern luxury. A revered Miami Beach landmark for more than half a century, Morris Lapidus’ emblematic curvilinear building sets a new standard for business and pleasure. The 22-acre oceanfront Miami Beach hotel features signature restaurants by award-winning chefs; two chic nightlife venues; a two-story spa, a virtually endless poolscape, miles of pristine beach and state-of-the-art conference and event facilities.",15 September 2022,FONTAINEBLEAU,63a52ad9e45bcae2d46b7101
"Stocks:
=======
LSE:ECEL.L
FRA:6YQ.F
MUN:6YQ.MU
STU:GB00BVV2KN49.SG

**** THEY CAN'T AFFORD $6M USD THAT'S WHY THEIR DATA IS HERE ****

Eurocell plc manufactures, distributes, and recycles windows, doors, and roofline polyvinyl chloride (PVC) building products in the United Kingdom. It operates through Profiles and Building Plastics segments. The company manufactures and sells extruded rigid and foam PVC profiles to third-party fabricators and customers. It also distributes a range of PVC foam roofline products and Vista doors; locks and hardware; building plastic materials; and third-party ancillary products, including sealants, tools, and rainwater products, as well as windows to the new and replacement window markets. The company sells its products to installers, small and independent builders, house builders, and maintenance companies, as well as roofline products to independent wholesalers. It also offers its products through online. Eurocell plc was founded in 1974 and is headquartered in Alfreton, the United Kingdom.",6 September 2022,California-Oregon Telecommunications Company,63a52ad9e45bcae2d46b7102
"The Next Generation of Medical Billing & RCM

Since 1979, our team at NCG Medical has made it our mission to function as a part of your practice, taking billing off of your administrative team’s plates and freeing up your talented team for what’s most important—your patients. We’ll consult with your team to provide custom solutions that are right for your practice.
Our Services
- Medical
Insurance Billing
- Radiation Oncology
Insurance Billing
- Gastroenterology
Insurance Billing
- Dermatology
Insurance Billing
At NCG Medical, we specialize in custom medical billing and revenue cycle management that’s designed to suit your individual needs. We take care of your practice management so you can take care of what’s most important: your patients. In addition to radiation oncology, dermatology, gastroenterology and therapy-based practices, our medical billing solutions are ideal for:

- Surgery Centers
- Hospitalists
- Cancer Centers
- Infectious Disease 
- Urology 
- Family Medicine
- Orthopedics 
- Internal Medicine",2 September 2022,Eurocell,63a52ad9e45bcae2d46b7103
"Altice international is a multinational group specializing in telecoms, content, media, entertainment, and advertising headquartered in Luxembourg.

Through its fully owned Israeli subsidiary, Hot Telecommunications Systems, Altice holds a special permit from the Israeli Civil Administration (ICA) for the provision of cable television and telecommunication services to Israeli settlements in the occupied Palestinian territory. The license was granted in 2006 and is valid through 25 November 2023. In 2019, Hot Telecommunications Systems announced that it will expand its services in the occupied West Bank to reach all settlements through wireless internet and TV services.

In January 2021 and January 2022, Hot Telecommunications Systems was awarded two contracts by the Israeli Ministry of Construction and Housing, Jerusalem District, for planning and carrying out the relocation of communication infrastructure in public spaces in the settlements of Efrat, Beit El, Beitar Illit, Givat Ze’ev, Geva Binyamin (Adam), Ma’ale Adumim, Ma’ale Efraim and Kiryat Arba in the West Bank. The first contract awarded in January 2021, was valued at 4 million NIS, and lasted through 31 December 2021. The second contract in January 2022, amounted to 10 million NIS, and is valid through 31 December 2022.

Another fully owned Israeli subsidiary, Hot Mobile (formerly MIRS) holds since 2002, an ICA permit to provide cellular services to Israeli settlements in the occupied Palestinian territory. For its license to operate in Area C of the occupied West Bank, Hot Mobile has provided the ICA with a bank guarantee of NIS 4 million valid through December 2022. Hot Mobile also pays royalties to Israeli settlements.

As of February 2022, Hot Mobile has at least 242 active cellular antennas and telecommunication infrastructure facilities in occupied territories, 44 of which are located in the occupied Syrian Golan, while the others are located in the occupied West Bank and East Jerusalem.",31 August 2022,NCG Medical,63a52ad9e45bcae2d46b7104
"Baton Rouge General is a hospital that offers pediatrics, gastroenterology, wound care, neurosciences, orthopedics and rehabilitation services. Baton Rouge General was founded in 1900. Baton Rouge General's headquarters is located in Baton Rouge, Louisiana, USA 70809.",25 August 2022,Altice International,63a52ad9e45bcae2d46b7105
"Reiter Affiliated Companies, founded in 1868 and headquartered in Oxnard, California, operates as a multi-berry producer.

***** SENSITIVE DATA ARE COMING SOON *****",24 August 2022,Baton Rouge General,63a52ad9e45bcae2d46b7106
"Wootton Upper School
Kimberley College",19 August 2022,Reiter Affiliated Companies,63a52adae45bcae2d46b7107
"Established in 1997, Tristate Hvac Equipment, LLP provides air distribution and central system equipment. The company offers wholesale distribution of warm air.",18 August 2022,WOOTTON ACADEMY TRUST,63a52adae45bcae2d46b7108
"ENN Group is an energy and natural gas production company headquartered in the Hebei province of China.

Stock Symbol: 600803

***** SENSITIVE DATA WILL BE PUBLISHED SOON ****",14 August 2022,TriState HVAC Equipment,63a52adae45bcae2d46b7109
"2.9 TB of data were downloaded.

Weidmüller Interface, founded in 1850, is a German based manufacturing company that focuses on creating solutions and products for the industrial industry.

**** DATA WILL BE PUBLISHED SOON ****",4 August 2022,ENN Group,63a52adae45bcae2d46b710a
"Carrolls Irish Gifts are a fully Irish owned company established in 1982 and are one of the leading retailers of quality Irish clothing, jewellery, souvenirs and gift product. If you have visited Ireland, you will have surely visited one of our many famous stores! We stock leading Irish products such as Guinness, Aran Knitwear, Solvar, Trinity, Mullingar Pewter and many more.... We carry 1000's of gift and souvenir products across a wide range of categories. We are almost 40 years in business delivering the highest standards of customer service and a massive range of top quality products at the best prices.



With 17 Irish stores, we are dedicated to welcoming visitors from all over the world and introducing them to our range of authentic products.



CarrollsIrishGifts.com - Best in Class Online Service
Our dedicated on-line team has been providing the Carrolls Irish Gifts unique shopping experience since 2003.


All orders placed online through our state of the art online store are delivered within days (worldwide) and are fully traceable from the time they leave our dispatch centre, in Dublin's main shopping street, O'Connell Street, until they reach your address. We are experts in local as well as international delivery and deliver to 164 countries around the world.",27 July 2022,CIMEX,63a52adae45bcae2d46b710b
"Behavioral Health System state behavioral health organization 

**** SENSITIVE DATA ARE COMING SOON *****",27 July 2022,Weidmueller,63a52adae45bcae2d46b710c
Television Autonomica De Castilla La Mancha,20 July 2022,LaVan & Neidenberg,63a52adae45bcae2d46b710d
"When people say “I’ll talk to my accountant”, all too often that means “I’ll call the office, leave a message on an answerphone and hope that somebody will call back”.

Whether you’re a local start-up company, a growing SME or the UK office of a major corporate, the Hamlyns commitment to genuine personal service remains consistent. And that means that you will always – always – be put straight through to your Partner or a senior member of the team. A named individual who knows you; who knows your specific business and financial affairs; who understands your particular needs and issues.

That’s how, over the years, we remain able to offer the flexibility and accounting agility to evolve the service we offer you in response to your changing circumstances. It’s only common sense, but it’s a commitment that our clients tell us really adds unique value to the Hamlyns experience.

How we work
Our approach to advice is underpinned by core values, allowing us to provide the level of service our clients deserve.

We consider our clients as partners and look to enjoy success together.

Our close-knit management team are highly respected in the business community.",16 July 2022,Carrolls Irish Gifts,63a52adae45bcae2d46b710e
"Who is Network4Cars? Network4Cars is a rapidly growing company operating in the international car trade. We deal in large-scale new, nearly new, and used cars. Our customers are garage owners, dealers, rental and car leasing companies, and fleet owners. Our mission is to provide the best deal at the right time.",14 July 2022,Behavioral Health System,63a52adbe45bcae2d46b710f
"Diskriter Inc.
Headquartered in Pittsburgh, Pennsylvania since 1947, Diskriter professionals have worked side-by-side with healthcare providers of all types and sizes in the United States supplying customized HIM Department Solutions that deliver measurable results. Today, Diskriter maintains two core divisions which include Health Information Management Solutions and Medical Transcription Services.
Today’s hospitals and healthcare organizations are confronted with increasingly rigid regulatory and compliance rules, HIM professional labor pool shortages and revenue cycle management challenges. To manage the operation efficiently, minimize risk and exposure, improve cash flow, and provide quality patient care you need a professional and experienced partner you can depend on for support.
Timely healthcare information is critical to patient care and your facility’s success. At Diskriter, we have a keen understanding of the extensive HIM functions and the need for timely, accurate, and effective solutions. Building partnerships and exceeding customer expectations is the rule, not the exception.",13 July 2022,RTVCM,63a52adbe45bcae2d46b7110
"Advancing Lightweight Engineering
SuperAlloy Industrial Company Ltd. (SAI) is an international company who specializes in engineering and manufacturing lightweight metal products for predominantly the automotive industries. The company is headquartered in Taiwan, R.O.C – with sales and support offices located in United States of America, United Kingdom, Germany and Netherlands.

****** If the company will net get in touch with us within 3 days then it's data will be disclosed ******",4 July 2022,Hamlyns Limited,63a52adbe45bcae2d46b7111
"Arte Radiotelevisivo Argentino (Artear) is a company belonging to Grupo Clarín, dedicated to the production and broadcast of various television channels.",4 July 2022,NETWORK4CARS,63a52adbe45bcae2d46b7112
